system_id,word,pos
32,vs,FW
32,星宇,Nb
32,330,Neu
32,neo,FW
32,差,VH
32,得,DE
32,可,D
32,多,VH
32,了,T
33,要,D
33,飛,VA
33,蠻,Dfa
33,久,VH
33,的,T
33,",",COMMACATEGORY
33,350,Neu
33,和,Caa
33,787,Neu
33,的,DE
33,艙壓,Na
33,",",COMMACATEGORY
33,比,P
33,339,Neu
33,舒服,VH
33,多,VH
33,了,T
34,新航,Nc
34,787,Neu
34,我,Nh
34,覺得,VK
34,很,Dfa
34,難,VH
34,坐,VA
34,，,COMMACATEGORY
34,可以,D
34,考慮,VE
34,酷航,Nb
34,PLUS,FW
34,星宇,Nb
34,便宜,VH
34,是,SHI
34,因為,Cbb
34,從,P
34,A350,Nb
34,路,Na
34,沒辦法,VI
34,滿,VH
34,到,P
34,現在,Nd
35,當然,D
35,是,SHI
35,星宇,Nb
35,新航,Nc
35,跟,P
35,華航,Nc
35,是,SHI
35,什麼,Nep
35,咖,Na
35,怎麼,D
35,跟,P
35,星宇,Nb
35,比,VC
36,新航,Nc
36,台北,Nc
36,都,D
36,用,P
36,787,Neu
36,但,Cbb
36,個人,Nh
36,偏好,VJ
36,新航,Nc
36,350,Neu
36,不管,Cbb
36,什麼,Nep
36,艙,Na
36,等,Cab
36,都,D
36,是,SHI
37,SQ,FW
37,還,D
37,堆,VC
37,人,Na
37,在,D
37,吹,VC
37,，,COMMACATEGORY
37,有夠,Dfa
37,爛,VH
38,我,Nh
38,推,VC
38,華航,Nc
38,沒有,VJ
38,華航,Nc
38,的話,Cba
38,我,Nh
38,會,D
38,選,VC
38,長榮,Nb
38,新航,Nc
38,太,Dfa
38,貴,VH
38,了,T
39,當然,D
39,星宇,Nb
39,飛機,Na
39,新,VH
39,就,D
39,是,SHI
39,爽華航,Nb
39,半夜,Nd
39,那,Nep
39,班,Nf
39,坐到,VCL
39,321,Neu
39,太,Dfa
39,滑,VH
39,很,Dfa
39,難,VH
39,睡國泰,VA
39,773,Neu
39,座位,Na
39,超小,VH
40,整體,Na
40,星宇,Nb
40,新航,Nc
40,長榮,Nb
40,，,COMMACATEGORY
40,華航,Nc
40,沒,D
40,搭,VC
40,過,Di
41,又,D
41,不,D
41,是,SHI
41,卡客,Na
41,或,Caa
41,商務,Na
41,當然,D
41,選,VC
41,星宇,Nb
41,，,COMMACATEGORY
41,依,P
41,你,Nh
41,敘述,VE
41,甚至,D
41,還,D
41,比較,Dfa
41,便宜,VH
42,新加坡,Nc
42,航線,Na
42,長榮,Nb
42,飛機,Na
42,應該,D
42,是,SHI
42,最,Dfa
42,舊款,Na
44,最近,Nd
44,星宇航空,VH
44,接連,D
44,爆出,VJ
44,負面,Na
44,新聞,Na
44,包括,VK
44,年終,Nd
44,只,Da
44,發,VD
44,1,Neu
44,個,Nf
44,月,Na
44,，,COMMACATEGORY
44,足足,Da
44,比,P
44,長榮,Nb
44,少,VH
44,了,Di
44,5,Neu
44,個,Nf
44,月,Na
44,\n,FW
44,還,D
44,有,V_2
44,疑似,VG
44,因為,Cbb
44,陳漢典,Nb
44,和,Caa
44,Lulu,FW
44,，,COMMACATEGORY
44,商務艙,Na
44,乘客,Na
44,不能,D
44,上,VCL
44,頭等艙,Na
44,廁所,Nc
44,\n,FW
44,最近,Nd
44,股價,Na
44,還,D
44,路跌,VH
44,，,COMMACATEGORY
44,名聲,Na
44,和,Caa
44,剛,D
44,創立,VC
44,時,Ng
44,跌落,VA
44,不少,Neqa
44,\n\n,FW
44,大概,D
44,十,Neu
44,年,Nf
44,前,Ng
44,，,COMMACATEGORY
44,長榮航空,Nc
44,找,VC
44,了,Di
44,金城武幫,Nb
44,公司,Nc
44,拍,VC
44,形象,Na
44,廣告,Na
44,，,COMMACATEGORY
44,結果,Dk
44,大爆紅,VH
44,，,COMMACATEGORY
44,連,Cbb
44,在,P
44,池上,Nc
44,喝,VC
44,茶,Na
44,的,DE
44,棵,Nf
44,\n,FW
44,樹,Na
44,都,D
44,能,D
44,成為,VG
44,景點,Na
44,，,COMMACATEGORY
44,連,Cbb
44,最近,Nd
44,空姐,Na
44,身亡案,Na
44,都,D
44,能,D
44,船,Na
44,過,VCL
44,水,Na
44,無痕,VH
44,\n,FW
44,國外,Nc
44,航空公司,Nc
44,如,P
44,阿聯酋,Nc
44,曾,D
44,找,VC
44,過,Di
44,C羅,Nb
44,和,Caa
44,球王,Na
44,比利,Nb
44,，,COMMACATEGORY
44,卡達,Nc
44,也,D
44,找,VC
44,喬科維奇,Nb
44,拍,VC
44,過,Di
44,廣告,Na
44,\n\n,FW
44,如果,Cbb
44,星宇,Nb
44,也,D
44,能,D
44,找,VC
44,金城武,Nb
44,拍,VC
44,廣告,Na
44,，,COMMACATEGORY
44,是否,D
44,能,D
44,扭轉,VC
44,形象,Na
44,，,COMMACATEGORY
44,也,D
44,演出,VC
44,王子,Na
44,復仇記,Na
44,，,COMMACATEGORY
44,建立,VC
44,下,Nes
44,個,Nf
44,黃金,Na
44,十\n,Neu
44,年,Nf
45,發,VD
45,廢文,Na
45,很,Dfa
45,有趣,VH
46,你,Nh
46,有,D
46,問,VE
46,過,Di
46,在座,VA
46,各,Nes
46,金城武,Nb
46,的,DE
46,意見,Na
46,嗎,T
47,所以,Cbb
47,你,Nh
47,是,SHI
47,嫌,VK
47,蔡依林,Nb
47,不,D
47,夠格,VH
47,484,Neu
48,洗白,VA
48,是,SHI
48,要,D
48,洗,VC
48,三,Neu
48,小,VH
49,只,Da
49,能,D
49,給,VD
50,請,VF
50,豬哥亮,Nb
50,代言,VA
50,定,VC
50,可以,D
51,終於,D
51,週末,Nd
51,啦,T
52,星宇,Nb
52,年終,Nd
52,多少,Neqa
52,關,Nf
52,旅客,Na
52,什麼,Nep
52,事,Na
52,，,COMMACATEGORY
52,軟硬體,Na
52,服務,VC
52,到位,VA
52,才,Da
52,是,SHI
52,重點,Na
53,腿,Na
53,了,T
53,已經,D
53,找,VC
53,蔡依林,Nb
53,了,T
53,哦,T
54,吃,VC
54,XX,FW
54,的,DE
54,命操,Na
54,大,VH
54,老闆,Na
54,的,DE
54,心,Na
55,什麼,Nep
55,時後,Na
55,黑過,VCL
56,回去,VA
56,數字版,Na
56,吧,T
57,找,VC
57,豬哥亮,Nb
57,我,Nh
57,就,D
57,推,VC
58,都,D
58,找,VC
58,了,Di
58,蔡依林,Nb
58,了,T
58,再,D
58,找,VC
58,金城武,Nb
58,今年,Nd
58,是,SHI
58,連,Cbb
58,個,Nf
58,月,Na
58,都,D
58,不,D
58,想,VE
58,發,VD
59,松指部,Nc
59,航廈,Na
59,包機,Na
